Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,HDMI
CASPER,"Nirvana C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop",8750.0,4.2,https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=841186,60500.0,0,1,Intel Celeron,4.0,0.1171875,Windows,Intel UHD Graphics 600,"15,6 inç",1366 x 768,Ofis - İş,2 kg ve altı,60.0,Dahili,1,N4020,10. Nesil,2.0,0.48828125,Yok,TN,LPDDR4,Gri,Casper Türkiye Garantili,1.1,2.8,Bluetooth,Q Türkçe,Dahili,HD Ready (HD),1.0,8.0,Yok
LENOVO,NB V15 82YU0123TX RYZEN5-7520U 16GB 512SSD O/B 15.6 DOS,13499.0,4.5,https://www.trendyol.com/lenovo/nb-v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-o-b-15-6-dos-p-816046818?boutiqueId=61&merchantId=514546,18500.0,1,1,AMD Ryzen 5,16.0,0.5,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,90.0,Dahili,1,7520U,5. Nesil,4.0,0.25,Yok,TN,Birleşik Bellek,Siyah,Lenovo Türkiye Garantili,1.1,2.8,Wi-Fi,F Klavye,Dahili,Full HD (FHD),2.0,32.0,Yok
Zeiron,"Zgx25 Ryzen 5 3600 32GB 3200MHz Ram 512GB SSD RX550 GDDR5 23.8"" Curved Oyuncu Masaüstü Bilgisayar",18299.0,4.6,https://www.trendyol.com/zeiron/zgx25-ryzen-5-3600-32gb-3200mhz-ram-512gb-ssd-rx550-gddr5-23-8-curved-oyuncu-masaustu-bilgisayar-p-310792132?boutiqueId=61&merchantId=127037,30300.0,1,1,AMD Ryzen 5,32.0,0.5,Free Dos,AMD Radeon RX 550,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,4,1215U,12. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,4.4,HDMI,RGB,DDR4,Full HD (FHD),2.0,64.0,Var
LENOVO,"IdeaPad3 Intel Core i3-1215U 8GB 256GB SSD 15.6"" FHD DOS Arctic Grey Dizüstü Bilgisayar 82RK011BTX",11005.0,3.8,https://www.trendyol.com/lenovo/ideapad3-intel-core-i3-1215u-8gb-256gb-ssd-15-6-fhd-dos-arctic-grey-dizustu-bilgisayar-82rk011btx-p-832741074?boutiqueId=61&merchantId=109354,4354.0,1,1,Intel Core i3,8.0,0.25,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,6.0,0.125,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,4.0,4.0,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
ASUS,"Vivobook 15 Intel Core i5-1235U 8GB 512GB SSD DOS 15.6"" FHD Gümüş Dizüstü Bilgisayar F1502ZA-EJ1534",15498.0,4.5,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-dos-15-6-fhd-gumus-dizustu-bilgisayar-f1502za-ej1534-p-780222579?boutiqueId=61&merchantId=113801,7974.0,1,1,Intel Core i5,8.0,0.5,Free Dos,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1235U,12. Nesil,10.0,0.5,Yok,IPS,DDR4,Gümüş,Asus Türkiye Garantili,1.3,4.4,USB - Bluetooth - HDMI,Q Türkçe,DDR5,Full HD (FHD),2.0,8.0,Yok
Zeiron,Mirage X32 Pro White Ryzen 7 5700X 32GB RAM 1TB M.2 SSD 8GB RTX4060 Sıvı Soğutmalı Oyun Bilgisayarı,33599.0,4.6,https://www.trendyol.com/zeiron/mirage-x32-pro-white-ryzen-7-5700x-32gb-ram-1tb-m-2-ssd-8gb-rtx4060-sivi-sogutmali-oyun-bilgisayari-p-847841519?boutiqueId=61&merchantId=127037,2273.0,1,1,AMD Ryzen 7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",3840 x 2160,Oyun,4 kg ve üzeri,60.0,Harici,8,12400F,4. Nesil,8.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.4,4.4,Display Port,RGB,GDDR6,Ultra HD 4K (UHD),2.0,64.0,Var
LENOVO,"Ideapad AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" 82R4006FTRA38",17199.0,4.6,https://www.trendyol.com/lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=61&merchantId=880551,29800.0,1,1,AMD Ryzen 7,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60.0,Dahili,1,5700U,5. Nesil,8.0,0.5,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,3.7,4.3,USB - Bluetooth - HDMI,Numeric,Dahili,Full HD (FHD),2.0,16.0,Yok
LENOVO,"IdeaPad1 Intel Celeron N4020 4GB 128GB SSD Windows 11 15.6"" Cloud Grey Dizüstü Bilgisayar",8594.9,4.4,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-ssd-windows-11-15-6-cloud-grey-dizustu-bilgisayar-p-811944598?boutiqueId=61&merchantId=194340,43500.0,0,1,Intel Celeron,4.0,0.125,Windows,Dahili Ekran Kartı,"15,6 inç",1366 x 768,Ev - Okul,2 - 4 kg,60.0,Dahili,1,N4020,4. Nesil,2.0,0.125,Yok,TN,DDR4,Gri,Resmi Distribütör Garantili,1.1,2.8,USB - Bluetooth - HDMI,Q Türkçe,Dahili,HD Ready (HD),2.0,4.0,Yok
Zeiron,"Ncx20 i5 12400F 32GB 512GB M.2 SSD RTX3050 24"" 165Hz Oyuncu Masaüstü Bilgisayar",27599.0,4.7,https://www.trendyol.com/zeiron/ncx20-i5-12400f-32gb-512gb-m-2-ssd-rtx3050-24-165hz-oyuncu-masaustu-bilgisayar-p-824367501?boutiqueId=61&merchantId=127037,1365.0,1,1,Intel Core i5,32.0,0.5,Free Dos,Nvidia GeForce RTX 3050,24 inç,1920 x 1080,Oyun,4 kg ve üzeri,165.0,Harici,8,12400F,12. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,2.5,4.4,Display Port,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
CASPER,Excalibur G770.1245-BVJ0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,30949.0,4.4,https://www.trendyol.com/casper/excalibur-g770-1245-bvj0x-b-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-dos-gaming-laptop-p-311975657?boutiqueId=61&merchantId=319737,43000.0,0,1,Intel Core i5,16.0,0.48828125,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,8.0,0.48828125,Yok,IPS,DDR4,Siyah,Casper Türkiye Garantili,2.5,4.4,HDMI,Q Türkçe,GDDR6,Full HD (FHD),1.0,64.0,Yok
